sku,issue,details,confidence
BR-2B5-113600,"weak_canonical_candidate","canonical=BR-2B5-113600 method=fallback_single_token attrs=mounting desc_fp=mounted towel dispenser waste receptacle",0.740
BR-5B2-110000,"weak_canonical_candidate","canonical=BR-5B2-110000 method=fallback_single_token attrs=mounting desc_fp=mounted dual roll toilet tissue dispense",0.740
BR-5B2-000000,"weak_canonical_candidate","canonical=BR-5B2-000000 method=fallback_single_token attrs=mounting desc_fp=dual roll toilet tissue dispenser medium",0.740
BR-5B2-110089,"weak_canonical_candidate","canonical=BR-5B2-110089 method=fallback_single_token attrs= desc_fp=toilet tissue dispenser integrated shelf",0.740
BR-5B1-110000,"weak_canonical_candidate","canonical=BR-5B1-110000 method=fallback_single_token attrs=mounting desc_fp=mounted toilet seat cover dispenser medi",0.740
BR-5B1-113600,"weak_canonical_candidate","canonical=BR-5B1-113600 method=fallback_single_token attrs=mounting desc_fp=mounted toilet seat cover dispenser larg",0.740
BR-5B1-003600,"weak_canonical_candidate","canonical=BR-5B1-003600 method=fallback_single_token attrs=mounting desc_fp=toilet seat cover dispenser large capaci",0.740
BR-ELX-2,"weak_canonical_candidate","canonical=BR-ELX-2 method=fallback_single_token attrs=mounting desc_fp=express lavatory system 2 station solid",0.740
CONCORD-AT20-SATIN,"weak_canonical_candidate","canonical=CONCORD-AT20-SATIN method=fallback_single_token attrs= desc_fp=20 ft tapered aluminum sectional flagpol",0.740
CONCORD-AT20-SATIN-FC,"weak_canonical_candidate","canonical=CONCORD-AT20-SATIN-FC method=fallback_single_token attrs= desc_fp=20 ft tapered aluminum flagpole kit fini",0.740
ACRO-CG-150N,"weak_canonical_candidate","canonical=ACRO-CG-150N method=fallback_single_token attrs=mounting desc_fp=mounted rigid vinyl corner guard 90 degr",0.740
ACRO-CG-160BN,"weak_canonical_candidate","canonical=ACRO-CG-160BN method=fallback_single_token attrs= desc_fp=bullnose rigid vinyl corner guard rounde",0.740
ACRO-CR-BG30,"weak_canonical_candidate","canonical=ACRO-CR-BG30 method=fallback_single_token attrs= desc_fp=crash rail wall guard aluminum retainer ",0.740
ACRO-HR-HR6C,"weak_canonical_candidate","canonical=ACRO-HR-HR6C method=fallback_single_token attrs= desc_fp=handrail wall protection function contin",0.740
ACRO-RS-RUB,"weak_canonical_candidate","canonical=ACRO-RS-RUB method=fallback_single_token attrs= desc_fp=wall rub strip bumper strip low impact w",0.740
EDER-TH25,"weak_canonical_candidate","canonical=EDER-TH25 method=fallback_single_token attrs= desc_fp=25 ft aluminum residential flagpole set ",0.740
EDER-WB-ALUM,"weak_canonical_candidate","canonical=EDER-WB-ALUM method=fallback_single_token attrs= desc_fp=aluminum wall bracket small residential ",0.740
EDER-MULTI-BRKT,"weak_canonical_candidate","canonical=EDER-MULTI-BRKT method=fallback_single_token attrs= desc_fp=aluminum multi purpose flagpole bracket ",0.740
EDER-OUTRIGGER-BRKT,"weak_canonical_candidate","canonical=EDER-OUTRIGGER-BRKT method=fallback_single_token attrs= desc_fp=outrigger wall mount flagpole bracket on",0.740
EDER-WS100,"weak_canonical_candidate","canonical=EDER-WS100 method=fallback_single_token attrs= desc_fp=ws 100 aluminum wall shield bracket",0.740
XL-SB-REC-KIT,"weak_canonical_candidate","canonical=XL-SB-REC-KIT method=fallback_single_token attrs=mounting desc_fp=high speed hand dryer wall kit allowance",0.740
FL-4C16D-20,"weak_canonical_candidate","canonical=FL-4C16D-20 method=fallback_single_token attrs= desc_fp=4c horizontal mailbox unit 20 tenant doo",0.740
FL-4C12D,"weak_canonical_candidate","canonical=FL-4C12D method=fallback_single_token attrs= desc_fp=4c horizontal mailbox unit 12 tenant doo",0.740
FL-4C16D,"weak_canonical_candidate","canonical=FL-4C16D method=fallback_single_token attrs= desc_fp=4c horizontal mailbox unit 16 tenant doo",0.740
MAIL-4C-12,"weak_canonical_candidate","canonical=MAIL-4C-12 method=fallback_single_token attrs= desc_fp=usps style 4c mailbox unit 12 tenant doo",0.740
MAILBOX-4C-ALLOW,"weak_canonical_candidate","canonical=MAILBOX-4C-ALLOW method=fallback_single_token attrs=mounting desc_fp=usps style 4c mailbox unit allowance wal",0.740
MAIL-4C-PARCEL,"weak_canonical_candidate","canonical=MAIL-4C-PARCEL method=fallback_single_token attrs= desc_fp=4c parcel locker module or parcel compar",0.740
MAIL-4C-OUTGOING,"weak_canonical_candidate","canonical=MAIL-4C-OUTGOING method=fallback_single_token attrs= desc_fp=outgoing mail compartment or outgoing ma",0.740
MAIL-COLL-WM,"weak_canonical_candidate","canonical=MAIL-COLL-WM method=fallback_single_token attrs= desc_fp=wall mounted mail collection box",0.740
MAIL-COLL-FS,"weak_canonical_candidate","canonical=MAIL-COLL-FS method=fallback_single_token attrs= desc_fp=freestanding mail collection box or drop",0.740
MAIL-CBU-08,"weak_canonical_candidate","canonical=MAIL-CBU-08 method=fallback_single_token attrs= desc_fp=standard cluster box unit 8 tenant doors",0.740
MAIL-CBU-12,"weak_canonical_candidate","canonical=MAIL-CBU-12 method=fallback_single_token attrs= desc_fp=standard cluster box unit 12 tenant door",0.740
MAIL-CBU-16,"weak_canonical_candidate","canonical=MAIL-CBU-16 method=fallback_single_token attrs= desc_fp=standard cluster box unit 16 tenant door",0.740
MAIL-SLOT-BRASS,"weak_canonical_candidate","canonical=MAIL-SLOT-BRASS method=fallback_single_token attrs= desc_fp=door mail slot brass finish trim allowan",0.740
MAIL-KEY,"weak_canonical_candidate","canonical=MAIL-KEY method=fallback_single_token attrs= desc_fp=replacement mailbox lock key set",0.740
MAIL-TENANT-LABEL,"weak_canonical_candidate","canonical=MAIL-TENANT-LABEL method=fallback_single_token attrs= desc_fp=tenant identification label number plate",0.740
MAIL-DIR,"weak_canonical_candidate","canonical=MAIL-DIR method=fallback_single_token attrs= desc_fp=mailbox directory panel or tenant direct",0.740
MAIL-KEYKEEPER,"weak_canonical_candidate","canonical=MAIL-KEYKEEPER method=fallback_single_token attrs= desc_fp=postal key keeper or usps access device ",0.740
MAIL-REPAIR-HDW,"weak_canonical_candidate","canonical=MAIL-REPAIR-HDW method=fallback_single_token attrs= desc_fp=mailbox repair hardware allowance hinges",0.740
HALYARD-KIT-50,"weak_canonical_candidate","canonical=HALYARD-KIT-50 method=fallback_single_token attrs= desc_fp=50 ft flagpole rope clips kit cleat hook",0.740
HALYARD-KIT-100,"weak_canonical_candidate","canonical=HALYARD-KIT-100 method=fallback_single_token attrs= desc_fp=100 ft flagpole rope kit cleat hook 4 sw",0.740
SH-SEAT-PHEN,"weak_canonical_candidate","canonical=SH-SEAT-PHEN method=fallback_single_token attrs=material desc_fp=folding shower seat phenolic seat allowa",0.740
MC-REC,"weak_canonical_candidate","canonical=MC-REC method=fallback_single_token attrs=mounting desc_fp=medicine cabinet allowance",0.740
INPRO-CG-160,"weak_canonical_candidate","canonical=INPRO-CG-160 method=fallback_single_token attrs=mounting desc_fp=mounted rigid vinyl corner guard standar",0.740
INPRO-CR-1500,"weak_canonical_candidate","canonical=INPRO-CR-1500 method=fallback_single_token attrs= desc_fp=impact resistant crash rail wall guard r",0.740
INPRO-HR-1600,"weak_canonical_candidate","canonical=INPRO-HR-1600 method=fallback_single_token attrs= desc_fp=commercial handrail impact resistant cov",0.740
JL-1015F10,"weak_canonical_candidate","canonical=JL-1015F10 method=fallback_single_token attrs=compliance desc_fp=flat trim steel fire extinguisher cabine",0.740
KORO-G800,"weak_canonical_candidate","canonical=KORO-G800 method=fallback_single_token attrs= desc_fp=textured vinyl corner guard light medium",0.740
KORO-SHEET-500,"weak_canonical_candidate","canonical=KORO-SHEET-500 method=fallback_single_token attrs= desc_fp=semi rigid protective wallcovering sheet",0.740
KORO-HR-K,"weak_canonical_candidate","canonical=KORO-HR-K method=fallback_single_token attrs= desc_fp=commercial wall protection handrail syst",0.740
PEN-GUARD-1T,"weak_canonical_candidate","canonical=PEN-GUARD-1T method=fallback_single_token attrs=mounting desc_fp=upgraded employee steel locker pocket ha",0.740
PEN-GUARD-2T,"weak_canonical_candidate","canonical=PEN-GUARD-2T method=fallback_single_token attrs=mounting desc_fp=upgraded employee steel locker pocket ha",0.740
PEN-WELD-1T,"weak_canonical_candidate","canonical=PEN-WELD-1T method=fallback_single_token attrs= desc_fp=fully welded steel locker high abuse com",0.740
PR-FVC,"weak_canonical_candidate","canonical=PR-FVC method=fallback_single_token attrs=compliance desc_fp=architectural fire valve cabinet valve o",0.740
PURELL-ES8,"weak_canonical_candidate","canonical=PURELL-ES8 method=fallback_single_token attrs=mounting desc_fp=automatic hand sanitizer dispenser mount",0.740
SCR-TUFF-1T,"weak_canonical_candidate","canonical=SCR-TUFF-1T method=fallback_single_token attrs=material desc_fp=hdpe solid plastic locker wet humid or h",0.740
SCR-TUFF-2T,"weak_canonical_candidate","canonical=SCR-TUFF-2T method=fallback_single_token attrs=material desc_fp=hdpe solid plastic locker locker rooms g",0.740
SCR-TUFF-3T,"weak_canonical_candidate","canonical=SCR-TUFF-3T method=fallback_single_token attrs=material desc_fp=hdpe solid plastic locker high traffic i",0.740
SCR-TUFF-ATH,"weak_canonical_candidate","canonical=SCR-TUFF-ATH method=fallback_single_token attrs=material desc_fp=hdpe athletic locker open front or venti",0.740
SCR-ECL-FTC,"weak_canonical_candidate","canonical=SCR-ECL-FTC method=fallback_single_token attrs=material desc_fp=hdpe toilet compartment floor ceiling an",0.740
VF-35211000,"weak_canonical_candidate","canonical=VF-35211000 method=fallback_single_token attrs= desc_fp=3 ft x 5 ft u s flag perma nyl nylon sew",0.740
ULINE-H-3819Z,"weak_canonical_candidate","canonical=ULINE-H-3819Z method=fallback_single_token attrs= desc_fp=epoxy wire shelving unit 48 w x 24 d x 7",0.740
ULINE-H-10444G,"weak_canonical_candidate","canonical=ULINE-H-10444G method=fallback_single_token attrs= desc_fp=epoxy mobile wire shelving unit 48 w x 2",0.740
ULINE-H-7119,"weak_canonical_candidate","canonical=ULINE-H-7119 method=fallback_single_token attrs= desc_fp=boltless shelving 48 w x 24 d x 72 h lig",0.740
ULINE-H-11855,"weak_canonical_candidate","canonical=ULINE-H-11855 method=fallback_single_token attrs= desc_fp=pallet rack starter unit 72 w x 36 d x 9",0.740
ULINE-H-5716,"weak_canonical_candidate","canonical=ULINE-H-5716 method=fallback_single_token attrs= desc_fp=pallet rack starter unit 96 w x 48 d x 9",0.740
GHENT-M1-44-4,"weak_canonical_candidate","canonical=GHENT-M1-44-4 method=fallback_single_token attrs= desc_fp=magnetic porcelain whiteboard 4 h x 4 w ",0.740
GHENT-M1-48-4,"weak_canonical_candidate","canonical=GHENT-M1-48-4 method=fallback_single_token attrs= desc_fp=magnetic porcelain whiteboard 4 h x 8 w ",0.740
GHENT-M1-412-4,"weak_canonical_candidate","canonical=GHENT-M1-412-4 method=fallback_single_token attrs= desc_fp=magnetic porcelain whiteboard 4 h x 12 w",0.740
GHENT-A2M48-M,"weak_canonical_candidate","canonical=GHENT-A2M48-M method=fallback_single_token attrs= desc_fp=magnetic porcelain whiteboard 4 h x 8 w ",0.740
GHENT-AK44,"weak_canonical_candidate","canonical=GHENT-AK44 method=fallback_single_token attrs= desc_fp=natural cork bulletin board 4 h x 4 w al",0.740
GHENT-AK48,"weak_canonical_candidate","canonical=GHENT-AK48 method=fallback_single_token attrs= desc_fp=natural cork bulletin board 4 h x 8 w al",0.740
GHENT-WK48,"weak_canonical_candidate","canonical=GHENT-WK48 method=fallback_single_token attrs= desc_fp=natural cork bulletin board 4 h x 8 w wo",0.740
GHENT-12UT44-W,"weak_canonical_candidate","canonical=GHENT-12UT44-W method=fallback_single_token attrs= desc_fp=wrapped fabric bulletin board 4 h x 4 w ",0.740
GHENT-12UT48-W,"weak_canonical_candidate","canonical=GHENT-12UT48-W method=fallback_single_token attrs= desc_fp=wrapped fabric bulletin board 4 h x 8 w ",0.740
GHENT-12UV48-W,"weak_canonical_candidate","canonical=GHENT-12UV48-W method=fallback_single_token attrs= desc_fp=wrapped vinyl bulletin board 4 h x 8 w s",0.740
GHENT-SLIDING-WB,"weak_canonical_candidate","canonical=GHENT-SLIDING-WB method=fallback_single_token attrs= desc_fp=sliding whiteboard visual display wall s",0.740
GHENT-CHAMPION-WALL,"weak_canonical_candidate","canonical=GHENT-CHAMPION-WALL method=fallback_single_token attrs= desc_fp=wall mounted enclosed display case alumi",0.740
GHENT-VARSITY-FLOOR,"weak_canonical_candidate","canonical=GHENT-VARSITY-FLOOR method=fallback_single_token attrs= desc_fp=freestanding wood display case trophy ca",0.740
OSC-ADA-ROOM-ID,"weak_canonical_candidate","canonical=OSC-ADA-ROOM-ID method=fallback_single_token attrs=compliance desc_fp=room identification sign acrylic tactile",0.740
OSC-ADA-RESTROOM-MEN,"weak_canonical_candidate","canonical=OSC-ADA-RESTROOM-MEN method=fallback_single_token attrs=compliance desc_fp=men restroom sign acrylic tactile raised",0.740
OSC-ADA-RESTROOM-WOMEN,"weak_canonical_candidate","canonical=OSC-ADA-RESTROOM-WOMEN method=fallback_single_token attrs=compliance desc_fp=women restroom sign acrylic tactile rais",0.740
OSC-ADA-RESTROOM-UNISEX,"weak_canonical_candidate","canonical=OSC-ADA-RESTROOM-UNISEX method=fallback_single_token attrs=compliance desc_fp=unisex restroom sign acrylic tactile rai",0.740
OSC-ADA-EXIT,"weak_canonical_candidate","canonical=OSC-ADA-EXIT method=fallback_single_token attrs=compliance desc_fp=exit sign tactile raised text grade 2 br",0.740
OSC-ADA-STAIR,"weak_canonical_candidate","canonical=OSC-ADA-STAIR method=fallback_single_token attrs=compliance desc_fp=stair sign tactile raised text grade 2 b",0.740
OSC-DIR-WALL,"weak_canonical_candidate","canonical=OSC-DIR-WALL method=fallback_single_token attrs= desc_fp=directional wall sign allowance wall mou",0.740
OSC-NO-SMOKING,"weak_canonical_candidate","canonical=OSC-NO-SMOKING method=fallback_single_token attrs= desc_fp=no smoking sign or decal wall mounted or",0.740
ELC-LED-EXIT-BB,"weak_canonical_candidate","canonical=ELC-LED-EXIT-BB method=fallback_single_token attrs= desc_fp=led exit sign battery backup allowance",0.740
OSC-ADA-ROOM-ID,"weak_canonical_candidate","canonical=OSC-ADA-ROOM-ID method=fallback_single_token attrs=compliance desc_fp=room identification sign compliant tacti",0.740
OSC-ADA-EXIT,"weak_canonical_candidate","canonical=OSC-ADA-EXIT method=fallback_single_token attrs=compliance desc_fp=exit sign tactile braille non illuminate",0.740
OSC-AED-3D,"weak_canonical_candidate","canonical=OSC-AED-3D method=fallback_single_token attrs= desc_fp=aed wall sign 3d projecting style",0.740
OSC-FE-3D,"weak_canonical_candidate","canonical=OSC-FE-3D method=fallback_single_token attrs=compliance desc_fp=fire extinguisher wall sign 3d projectin",0.740
OSC-FE-DECAL,"weak_canonical_candidate","canonical=OSC-FE-DECAL method=fallback_single_token attrs=compliance desc_fp=fire extinguisher decal or cabinet lette",0.740
OSC-NO-SMOKING,"weak_canonical_candidate","canonical=OSC-NO-SMOKING method=fallback_single_token attrs= desc_fp=no smoking wall sign or decal",0.740
ASI-0795,"weak_canonical_candidate","canonical=ASI-0795 method=fallback_single_token attrs=mounting desc_fp=single mop holder mounted cam style hold",0.740
ASI-0796-3,"weak_canonical_candidate","canonical=ASI-0796-3 method=fallback_single_token attrs=mounting desc_fp=mop rack 3 holders mounted",0.740
ASI-0796-4,"weak_canonical_candidate","canonical=ASI-0796-4 method=fallback_single_token attrs=mounting desc_fp=mop rack 4 holders mounted",0.740
ASI-1315-4,"weak_canonical_candidate","canonical=ASI-1315-4 method=fallback_single_token attrs= desc_fp=utility shelf drying rod mop holders rag",0.740
INPRO-4118-4,"weak_canonical_candidate","canonical=INPRO-4118-4 method=fallback_single_token attrs= desc_fp=clear polycarbonate corner guard 4 ft 90",0.740
INPRO-834-8,"weak_canonical_candidate","canonical=INPRO-834-8 method=fallback_single_token attrs= desc_fp=clear polycarbonate corner guard 8 ft 90",0.740
CS-ACRO-CG,"weak_canonical_candidate","canonical=CS-ACRO-CG method=fallback_single_token attrs=mounting desc_fp=acrovyn corner guard mounted rigid vinyl",0.740
CS-ACRO-CR,"weak_canonical_candidate","canonical=CS-ACRO-CR method=fallback_single_token attrs= desc_fp=acrovyn crash rail wall guard retainer c",0.740
INPRO-HR,"weak_canonical_candidate","canonical=INPRO-HR method=fallback_single_token attrs= desc_fp=commercial vinyl acrovyn style handrail ",0.740
CS-ACRO-HR,"weak_canonical_candidate","canonical=CS-ACRO-HR method=fallback_single_token attrs= desc_fp=acrovyn wall protection handrail system ",0.740
CS-ACRO-CHAIRRAIL,"weak_canonical_candidate","canonical=CS-ACRO-CHAIRRAIL method=fallback_single_token attrs=mounting desc_fp=acrovyn chair rail rub rail wall protect",0.740
INPRO-CHAIRRAIL,"weak_canonical_candidate","canonical=INPRO-CHAIRRAIL method=fallback_single_token attrs= desc_fp=commercial vinyl chair rail rub rail wal",0.740
INPRO-PALLADIUM-SHEET,"weak_canonical_candidate","canonical=INPRO-PALLADIUM-SHEET method=fallback_single_token attrs= desc_fp=high impact rigid vinyl wall protection ",0.740
AIVIA-100,"weak_canonical_candidate","canonical=AIVIA-100 method=fallback_single_token attrs=mounting desc_fp=mounted aed cabinet alarm strobe style m",0.740
JL-1413F12,"weak_canonical_candidate","canonical=JL-1413F12 method=fallback_single_token attrs=mounting desc_fp=aed cabinet alarm strobe",0.740
PETER-2165,"weak_canonical_candidate","canonical=PETER-2165 method=fallback_single_token attrs= desc_fp=wall mounted coat rack 6 non removable h",0.740
PETER-2141AL,"weak_canonical_candidate","canonical=PETER-2141AL method=fallback_single_token attrs= desc_fp=wall mounted aluminum coat hook coat rac",0.740
BABCOCK-BMD38,"weak_canonical_candidate","canonical=BABCOCK-BMD38 method=fallback_single_token attrs=mounting desc_fp=roll up aluminum entrance mat or framed ",0.740
KIRSCH-94004,"weak_canonical_candidate","canonical=KIRSCH-94004 method=fallback_single_token attrs= desc_fp=hospital cubicle curtain track 6 ft sect",0.740
CS-TRACK-CUBICLE,"weak_canonical_candidate","canonical=CS-TRACK-CUBICLE method=fallback_single_token attrs= desc_fp=hospital cubicle curtain track carrier e",0.740
KEY-TRAK-ELEC,"weak_canonical_candidate","canonical=KEY-TRAK-ELEC method=fallback_single_token attrs= desc_fp=electronic key control cabinet allowance",0.740
MMF-201902003,"weak_canonical_candidate","canonical=MMF-201902003 method=fallback_single_token attrs= desc_fp=100 key wall mounted key cabinet",0.740
ULINE-H-3819Z,"weak_canonical_candidate","canonical=ULINE-H-3819Z method=fallback_single_token attrs= desc_fp=epoxy wire shelving unit commercial util",0.740
GHENT-M1-48-4,"weak_canonical_candidate","canonical=GHENT-M1-48-4 method=fallback_single_token attrs= desc_fp=4 ft x 8 ft porcelain markerboard alumin",0.740
GHENT-AK48,"weak_canonical_candidate","canonical=GHENT-AK48 method=fallback_single_token attrs= desc_fp=4 ft x 8 ft cork tackboard aluminum fram",0.740
GHENT-CHAMPION-WALL,"weak_canonical_candidate","canonical=GHENT-CHAMPION-WALL method=fallback_single_token attrs= desc_fp=wall mounted enclosed display case alumi",0.740
MASTERLOCK-1630,"weak_canonical_candidate","canonical=MASTERLOCK-1630 method=fallback_single_token attrs= desc_fp=built in combination locker lock",0.740
SCR-BENCH-HDPE-06,"weak_canonical_candidate","canonical=SCR-BENCH-HDPE-06 method=fallback_single_token attrs=material desc_fp=hdpe solid plastic locker bench 6 ft",0.740
SCR-US-HDPE,"weak_canonical_candidate","canonical=SCR-US-HDPE method=fallback_single_token attrs=material desc_fp=hdpe urinal screen wall brackets or pila",0.740
TRIMCO-4017-ED,"weak_canonical_candidate","canonical=TRIMCO-4017-ED method=fallback_single_token attrs= desc_fp=edge protector door guard installation a",0.740
TRIMCO-4016-ED,"weak_canonical_candidate","canonical=TRIMCO-4016-ED method=fallback_single_token attrs= desc_fp=edge protector swing arm door guard inst",0.740
TRIMCO-FINGER-GUARD-KE,"weak_canonical_candidate","canonical=TRIMCO-FINGER-GUARD-KE method=fallback_single_token attrs= desc_fp=finger guard edge guard pinch point prot",0.740
ASI-HR-ALUM-LF,"weak_canonical_candidate","canonical=ASI-HR-ALUM-LF method=fallback_single_token attrs= desc_fp=aluminum headrail overhead braced toilet",0.740
ASI-HR-MB-LF,"weak_canonical_candidate","canonical=ASI-HR-MB-LF method=fallback_single_token attrs=finish desc_fp=matte aluminum headrail privacy toilet p",0.740
ASI-BRKT-AL-CONT-LF,"weak_canonical_candidate","canonical=ASI-BRKT-AL-CONT-LF method=fallback_single_token attrs= desc_fp=aluminum continuous wall panel bracket t",0.740
ASI-SHOE-MB,"weak_canonical_candidate","canonical=ASI-SHOE-MB method=fallback_single_token attrs=finish desc_fp=matte pilaster shoe upgraded privacy par",0.740
ASI-HINGE-WRAP-ZAMAC,"weak_canonical_candidate","canonical=ASI-HINGE-WRAP-ZAMAC method=fallback_single_token attrs=finish desc_fp=chrome plated zamac wrap around hinge se",0.740
ASI-STRIKE-WRAP-AL,"weak_canonical_candidate","canonical=ASI-STRIKE-WRAP-AL method=fallback_single_token attrs= desc_fp=aluminum wrap around strike keeper toile",0.740
ASI-PULL-AL,"weak_canonical_candidate","canonical=ASI-PULL-AL method=fallback_single_token attrs= desc_fp=aluminum door pull outswing toilet parti",0.740
ASI-PULL-MB,"weak_canonical_candidate","canonical=ASI-PULL-MB method=fallback_single_token attrs=finish desc_fp=matte aluminum door pull upgraded privac",0.740
ASI-HOOK-COAT,"weak_canonical_candidate","canonical=ASI-HOOK-COAT method=fallback_single_token attrs= desc_fp=partition mounted coat hook toilet compa",0.740
ASI-40-8445210,"weak_canonical_candidate","canonical=ASI-40-8445210 method=fallback_single_token attrs= desc_fp=aluminum headrail return kit polymer sol",0.740
ASI-40-8988221G,"weak_canonical_candidate","canonical=ASI-40-8988221G method=fallback_single_token attrs= desc_fp=ceiling bolt kit ceiling hung or floor c",0.740
SCR-HLSLA,"weak_canonical_candidate","canonical=SCR-HLSLA method=fallback_single_token attrs=material desc_fp=slide bolt latch scranton hiny hiders hd",0.740
SCR-BRKT-HDPE,"weak_canonical_candidate","canonical=SCR-BRKT-HDPE method=fallback_single_token attrs=material desc_fp=l bracket or mounting bracket allowance ",0.740
SCR-HEADRAIL-LF,"weak_canonical_candidate","canonical=SCR-HEADRAIL-LF method=fallback_single_token attrs=material desc_fp=headrail scranton hdpe toilet partitions",0.740
PARTS-HR-ALUM-LF,"weak_canonical_candidate","canonical=PARTS-HR-ALUM-LF method=fallback_single_token attrs= desc_fp=aluminum partition headrail field cut ov",0.740
PARTS-HR-ENDCAP,"weak_canonical_candidate","canonical=PARTS-HR-ENDCAP method=fallback_single_token attrs= desc_fp=aluminum headrail end cap return accesso",0.740
PARTS-PRIV-STRIP-LF,"weak_canonical_candidate","canonical=PARTS-PRIV-STRIP-LF method=fallback_single_token attrs= desc_fp=continuous privacy strip sightline block",0.740
OSC-ADA-ROOM-ID,"weak_canonical_candidate","canonical=OSC-ADA-ROOM-ID method=fallback_single_token attrs=compliance desc_fp=compliant room identification sign tacti",0.740
OSC-ADA-ROOM-NUM,"weak_canonical_candidate","canonical=OSC-ADA-ROOM-NUM method=fallback_single_token attrs=compliance desc_fp=compliant room number sign tactile raise",0.740
OSC-ADA-OFFICE,"weak_canonical_candidate","canonical=OSC-ADA-OFFICE method=fallback_single_token attrs=compliance desc_fp=compliant office sign tactile text grade",0.740
OSC-ADA-CUSTODIAL,"weak_canonical_candidate","canonical=OSC-ADA-CUSTODIAL method=fallback_single_token attrs=compliance desc_fp=compliant custodial closet sign tactile ",0.740
OSC-ADA-ELEC,"weak_canonical_candidate","canonical=OSC-ADA-ELEC method=fallback_single_token attrs=compliance desc_fp=compliant electrical room sign tactile t",0.740
OSC-ADA-MECH,"weak_canonical_candidate","canonical=OSC-ADA-MECH method=fallback_single_token attrs=compliance desc_fp=compliant mechanical room sign tactile t",0.740
OSC-ADA-FIRE-RISER,"weak_canonical_candidate","canonical=OSC-ADA-FIRE-RISER method=fallback_single_token attrs=compliance desc_fp=compliant fire riser room sign tactile t",0.740
