canonical_sku,category,manufacturer,model,series,description,sample_skus,confidence,reason
BR-7B2-0052400,"Shelves & Towel Bars","Bradley",7B2-0052400,"Elvari","5 in x 24 in stainless steel shelf",BR-7B2-0052400,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BR-7B2-0082496,"Shelves & Towel Bars","Bradley",7B2-0082496,"Elvari","8 in x 24 in stainless steel shelf with hooks",BR-7B2-0082496,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
INPRO-SHEET-040,"Wall Protection","Inpro",.040 Sheet,Palladium,"Rigid vinyl wall protection sheet, .040 inch, adhered to wall surface",INPRO-SHEET-040,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-B6806X36,"Grab Bars","Bobrick",B-6806 x 36,Classic,"36 inch straight grab bar, 1-1/2 inch diameter, stainless steel, satin finish",BOB-B6806X36,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-B6806X42,"Grab Bars","Bobrick",B-6806 x 42,Classic,"42 inch straight grab bar, 1-1/2 inch diameter, stainless steel, satin finish",BOB-B6806X42,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
ASI-SNAP-36-MB,"Grab Bars",ASI,"Snap-36","Snap Series","36 inch grab bar, matte black finish",ASI-SNAP-36-MB,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
ROCKWOOD-K1050,"Wall Protection",Rockwood,K1050,Kick Plates,"Stainless steel door kick plate, 8 inch x 34 inch, commercial door protection",ROCKWOOD-K1050,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
LAR-2409-R7,"Fire Protection Specialties","Larsen's Manufacturing",2409-R7,"Architectural","Fire extinguisher cabinet, semi-recessed, white steel, clear acrylic door, 1-1/2 inch projection",LAR-2409-R7,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
ROCK-K1050-6X34-630,"Door & Frame Protection",Rockwood,K1050,"Protection Plate","6"" x 34"" mop plate / low kick plate, .050"" satin stainless steel, beveled edges",ROCK-K1050-6X34-630,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
ROCK-K1050-8X34-630,"Door & Frame Protection",Rockwood,K1050,"Protection Plate","8"" x 34"" kick plate, .050"" satin stainless steel, beveled edges",ROCK-K1050-8X34-630,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
ROCK-K1050-16X34-630,"Door & Frame Protection",Rockwood,K1050,"Protection Plate","16"" x 34"" armor / stretcher-height protection plate, .050"" satin stainless steel",ROCK-K1050-16X34-630,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
ROCK-K1050-34X34-630,"Door & Frame Protection",Rockwood,K1050,"Armor Plate","34"" x 34"" armor plate for 36"" door, .050"" satin stainless steel",ROCK-K1050-34X34-630,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
IVES-8400-6X34-630,"Door & Frame Protection",Ives,8400,"Protection Plate","6"" x 34"" mop plate, satin stainless steel, beveled edges, countersunk mounting holes",IVES-8400-6X34-630,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
IVES-8400-8X34-630,"Door & Frame Protection",Ives,8400,"Protection Plate","8"" x 34"" kick plate, satin stainless steel, beveled edges, countersunk mounting holes",IVES-8400-8X34-630,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
IVES-8400-10X34-630,"Door & Frame Protection",Ives,8400,"Protection Plate","10"" x 34"" kick plate, satin stainless steel, beveled edges, countersunk mounting holes",IVES-8400-10X34-630,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
IVES-8400-34X34-630,"Door & Frame Protection",Ives,8400,"Armor Plate","34"" x 34"" armor plate, satin stainless steel, beveled edges, commercial door protection",IVES-8400-34X34-630,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
IVES-8402-10X34-630,"Door & Frame Protection",Ives,8402,"UL Protection Plate","10"" x 34"" UL kick plate, satin stainless steel, for labeled/fire-rated door applications",IVES-8402-10X34-630,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
IVES-8400-PBLK-10X34,"Door & Frame Protection",Ives,8400,"Plastic Protection Plate","10"" x 34"" heavy-duty plastic kick plate, black, high-impact polyethylene",IVES-8400-PBLK-10X34,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
TRIMCO-KM050-6X34-630,"Door & Frame Protection","Trimco",KM050,"KM Series Mop Plate","6"" x 34"" mop plate, .050"" satin stainless steel, pencil beveled on four sides",TRIMCO-KM050-6X34-630,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
TRIMCO-K0050-8X34-630,"Door & Frame Protection","Trimco",K0050,"K Series Kick Plate","8"" x 34"" kick plate, .050"" satin stainless steel, pencil beveled on four sides",TRIMCO-K0050-8X34-630,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
TRIMCO-K0050-10X34-630,"Door & Frame Protection","Trimco",K0050,"K Series Kick Plate","10"" x 34"" kick plate, .050"" satin stainless steel, pencil beveled on four sides",TRIMCO-K0050-10X34-630,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
TRIMCO-KA050-34X34-630,"Door & Frame Protection","Trimco",KA050,"KA Series Armor Plate","34"" x 34"" armor plate, .050"" satin stainless steel, protects lower half of door from carts and heavy abuse",TRIMCO-KA050-34X34-630,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
TRIMCO-KS050-16X34-630,"Door & Frame Protection","Trimco",KS050,"KS Series Stretcher Plate","16"" x 34"" stretcher plate, .050"" satin stainless steel, stretcher/wheelchair impact protection",TRIMCO-KS050-16X34-630,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
ROCK-PUSH-70A-4X16-630,"Door & Frame Protection",Rockwood,70A,Push Plate,"4"" x 16"" push plate, satin stainless steel, commercial door hardware accessory",ROCK-PUSH-70A-4X16-630,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
IVES-8302-4X16-630,"Door & Frame Protection",Ives,8302,Push Plate,"4"" x 16"" push plate, satin stainless steel",IVES-8302-4X16-630,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
IVES-8303-4X16-630,"Door & Frame Protection",Ives,8303,Pull Plate,"4"" x 16"" pull plate, satin stainless steel, commercial door accessory",IVES-8303-4X16-630,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
SCR-TUFF-BASE-4,"Locker Accessories","Scranton Products","4"" Locker Base","Tufftec Accessories","4 inch high black HDPE locker base, 1 inch thick, field assembled",SCR-TUFF-BASE-4,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
SCR-TUFF-FILLER-72,"Locker Accessories","Scranton Products","72"" Locker Filler","Tufftec Accessories","HDPE locker filler, 72 inch height; available in 4, 8, 12, and 18 inch widths",SCR-TUFF-FILLER-72,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
LAR-2409-6R,"Fire Protection Accessories","Larsen's Manufacturing",2409-6R,"Architectural Cabinet","24 x 9.5 inch semi-recessed fire extinguisher cabinet for up to 10 lb ABC extinguisher, 2.5 inch trim",LAR-2409-6R,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
LAR-FSDEC-SS-2409-R4,"Fire Protection Accessories","Larsen's Manufacturing",FS DEC SS 2409-R4,"Fire-Rated Detention Cabinet","Fire-rated detention fire extinguisher cabinet, stainless steel door and frame, semi-recessed, 3.5 inch trim",LAR-FSDEC-SS-2409-R4,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
KARP-FR-2424,"Access Panels","Karp Associates","Fire-Rated 24x24","Fire-Rated Access Door","24 in x 24 in fire-rated access door allowance for rated wall or ceiling assembly",KARP-FR-2424,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
RELIANCE-R8464,"Bollards","Reliance Foundry",R-8464,"Stainless Steel Bollard","Stainless steel removable bollard, 35-1/2 in height, locking/removable application",RELIANCE-R8464,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-B-293-1830,"Mirrors","Bobrick",B-293 1830,"B-293 Series","Fixed-position tilt mirror, 18 in x 30 in, stainless steel frame, ADA wheelchair visibility application",BOB-B-293-1830,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-B-293-1836,"Mirrors","Bobrick",B-293 1836,"B-293 Series","Fixed-position tilt mirror, 18 in x 36 in, stainless steel frame, ADA wheelchair visibility application",BOB-B-293-1836,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-B-293-2436,"Mirrors","Bobrick",B-293 2436,"B-293 Series","Fixed-position tilt mirror, 24 in x 36 in, stainless steel frame, ADA wheelchair visibility application",BOB-B-293-2436,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-B-290-2448,"Mirrors","Bobrick",B-290 2448,"B-290 Series","Welded-frame mirror, 24 in x 48 in, type 304 stainless steel angle frame, satin finish",BOB-B-290-2448,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-B-290-2460,"Mirrors","Bobrick",B-290 2460,"B-290 Series","Welded-frame mirror, 24 in x 60 in, type 304 stainless steel angle frame, satin finish",BOB-B-290-2460,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-B-290-2472,"Mirrors","Bobrick",B-290 2472,"B-290 Series","Welded-frame mirror, 24 in x 72 in, type 304 stainless steel angle frame, satin finish",BOB-B-290-2472,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-B-290-2436-MBLK,"Mirrors","Bobrick",B-290 2436.MBLK,"B-290 Series","Welded-frame mirror, 24 in x 36 in, type 304 stainless steel angle frame, matte black finish",BOB-B-290-2436-MBLK,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
ASI-10-0391-1830,"Mirrors","American Specialties Inc.",0391 18x30,"Tilt Mirror","Fixed tilt mirror, 18 in x 30 in, stainless steel frame allowance",ASI-10-0391-1830,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BR-760-1830,"Mirrors","Bradley",760 1830,"Tilt Mirror","Fixed-position tilt mirror, 18 in x 30 in, stainless steel frame allowance",BR-760-1830,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-B-6827X18,"Shelves & Towel Bars","Bobrick",B-6827 x 18,"Towel Bar","18 inch stainless steel towel bar, surface-mounted",BOB-B-6827X18,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-B-6827X24,"Shelves & Towel Bars","Bobrick",B-6827 x 24,"Towel Bar","24 inch stainless steel towel bar, surface-mounted",BOB-B-6827X24,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
ASI-0690-24,"Shelves & Towel Bars","American Specialties Inc.",0690-24,"Towel Bar","24 inch towel bar, stainless steel allowance",ASI-0690-24,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-B-295X24,"Shelves & Towel Bars","Bobrick",B-295 x 24,Shelf,"24 inch stainless steel shelf, surface-mounted bathroom accessory allowance",BOB-B-295X24,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-B-295X36,"Shelves & Towel Bars","Bobrick",B-295 x 36,Shelf,"36 inch stainless steel shelf, surface-mounted bathroom accessory allowance",BOB-B-295X36,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
ASI-8206,"Shower Accessories","American Specialties Inc.",8206,"Shower Curtain Rod","Stainless steel shower curtain rod, 36 inch allowance",ASI-8206,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
ASI-8207,"Shower Accessories","American Specialties Inc.",8207,"Shower Curtain Rod","Stainless steel shower curtain rod, 48 inch allowance",ASI-8207,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
ASI-8208,"Shower Accessories","American Specialties Inc.",8208,"Shower Curtain Rod","Stainless steel shower curtain rod, 60 inch allowance",ASI-8208,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-B-6806X18-SHOWER,"Shower Accessories","Bobrick",B-6806 x 18,"Shower Grab Bar","18 inch stainless steel shower grab bar, 1-1/2 inch diameter, satin finish",BOB-B-6806X18-SHOWER,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-B-6806X24-SHOWER,"Shower Accessories","Bobrick",B-6806 x 24,"Shower Grab Bar","24 inch stainless steel shower grab bar, 1-1/2 inch diameter, satin finish",BOB-B-6806X24-SHOWER,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-B-6806X36-SHOWER,"Shower Accessories","Bobrick",B-6806 x 36,"Shower Grab Bar","36 inch stainless steel shower grab bar, 1-1/2 inch diameter, satin finish",BOB-B-6806X36-SHOWER,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-B-58616,"Shower Accessories","Bobrick",B-58616,"Two-Wall Grab Bar","Two-wall tub/shower/toilet grab bar, 24 in x 36 in, 1-1/4 inch diameter stainless steel",BOB-B-58616,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
CLARIDGE-LCS-ELITE-46,"Visual Display Surfaces","Claridge",LCS Elite 4x6,LCS Elite,"4 ft x 6 ft frameless magnetic whiteboard with LCS porcelain writing surface and InvisiMount mounting",CLARIDGE-LCS-ELITE-46,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
CLARIDGE-LCS-ELITE-48,"Visual Display Surfaces","Claridge",LCS Elite 4x8,LCS Elite,"4 ft x 8 ft frameless magnetic whiteboard with LCS porcelain writing surface and InvisiMount mounting",CLARIDGE-LCS-ELITE-48,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BD-FRAME-38-LF,"Entrance Mats & Frames",Babcock-Davis,"3/8 inch Mat Frame","Frame Accessory","Recessed aluminum mat frame for 3/8 inch entrance mat systems",BD-FRAME-38-LF,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BD-FRAME-34-LF,"Entrance Mats & Frames",Babcock-Davis,"3/4 inch Grille Frame","Frame Accessory","Recessed aluminum frame for 3/4 inch entrance grille systems",BD-FRAME-34-LF,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
MATS-PERFEC-CLEAN-38-AL-SF,"Entrance Mats & Frames","Mats Inc.","Perfec Clean 3/8 Aluminum Hinge","Recessed Entry Mats","Perfec Clean 3/8 inch roll-up recessed entrance mat with aluminum hinge construction",MATS-PERFEC-CLEAN-38-AL-SF,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-1080-OH,"Toilet Partitions","Bobrick","1080 Series","DuraLineSeries","Solid phenolic/CGL toilet compartment, overhead-braced mounting",BOB-1080-OH|BOB-DURALINE-CGL-OH,0.820,"grouped|method=fallback_single_token|attrs_extracted|no_conflicts"
BR-155,"Paper Towel Dispensers","Bradley",155,"Series 100","Recessed towel dispenser with exterior shelf and mirror door",BR-155|BR-155,0.820,"grouped|method=fallback_single_token|attrs_extracted|no_conflicts"
EDER-FINGER-BRKT,Flagpoles & Flags,"Eder Flag","Aluminum Finger Bracket","Finger Bracket","Aluminum finger flagpole bracket",EDER-FINGER-BRKT|EDER-FINGER-BRKT,0.820,"grouped|method=fallback_single_token|no_attrs|no_conflicts"
EDER-VERT-WM-BRKT,Flagpoles & Flags,"Eder Flag","Vertical Wall Mount Bracket","Vertical Bracket","Vertical wall-mount flagpole bracket allowance",EDER-VERT-WM-BRKT|EDER-VERT-WM-BRKT,0.820,"grouped|method=fallback_single_token|no_attrs|no_conflicts"
EDER-SCHOOL-BRKT,Flagpoles & Flags,"Eder Flag","Aluminum School Bracket","School Bracket","Aluminum school flagpole bracket",EDER-SCHOOL-BRKT|EDER-SCHOOL-BRKT,0.820,"grouped|method=fallback_single_token|no_attrs|no_conflicts"
EDER-6SPIN-SET,Flagpoles & Flags,"Eder Flag","6 ft Aluminum Spinning Flagpole Set",Wall Flagpole Set,"6 ft aluminum spinning wall-mounted flagpole set",EDER-6SPIN-SET|EDER-6SPIN-SET,0.820,"grouped|method=fallback_single_token|no_attrs|no_conflicts"
AMEREX-B500,"Fire Protection Specialties","Amerex",B500,"ABC Dry Chemical","5 lb ABC dry chemical fire extinguisher with wall hanger",AMEREX-B500|AMEREX-B500,0.820,"grouped|method=fallback_single_token|attrs_extracted|no_conflicts"
AMEREX-B456,"Fire Protection Specialties","Amerex",B456,"ABC Dry Chemical","10 lb ABC dry chemical fire extinguisher with wall hanger",AMEREX-B456|AMEREX-B456,0.820,"grouped|method=fallback_single_token|attrs_extracted|no_conflicts"
JUSTRITE-SCF,"Smoking Receptacles","Justrite","Smoker's Cease Fire","Outdoor Ashtray","Freestanding outdoor cigarette-butt receptacle, self-extinguishing style",JUSTRITE-SCF|JUSTRITE-SCF-26800,0.820,"grouped|method=fallback_single_token|attrs_extracted|no_conflicts"
DALITE-74653,"Projection Screens",Da-Lite,74653,Model B,"Manual wall or ceiling-mounted projection screen for medium-sized rooms",DALITE-74653|DALITE-74653,0.820,"grouped|method=fallback_single_token|no_attrs|no_conflicts"
ASI-1308,"Custodial Accessories","American Specialties Inc.",1308,Custodial,"Utility shelf with hook strip and mop/broom holders, surface-mounted stainless steel",ASI-1308,0.790,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
ASI-1315-4,"Custodial Accessories","American Specialties Inc.",1315-4,Custodial,"Utility shelf with drying rod, 4 mop holders, and rag hooks, stainless steel",ASI-1315-4,0.790,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
ASI-9013-9,"Baby Changing Stations",ASI,9013-9,"Baby Changing Station","Horizontal recessed stainless steel baby changing station allowance",ASI-9013-9,0.790,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
ASI-FSS,"Shower Accessories",ASI,FSS,"Shower Seat","Folding shower seat, stainless steel allowance",ASI-FSS,0.790,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
ASI-PC-OH,"Toilet Partitions","ASI Global Partitions","Overhead Braced","Powder Coated Steel","Powder-coated steel toilet compartment, floor-anchored overhead-braced mounting",ASI-PC-OH,0.790,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
ASI-SS-OH,"Toilet Partitions","ASI Global Partitions","Overhead Braced","Stainless Steel","Stainless steel toilet compartment, floor-anchored overhead-braced mounting",ASI-SS-OH,0.790,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
ASI-HDPE-OH,"Toilet Partitions","ASI Global Partitions","Overhead Braced",Solid Plastic,"HDPE solid plastic toilet compartment, floor-anchored overhead-braced mounting",ASI-HDPE-OH,0.790,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
ASI-PHEN-OH,"Toilet Partitions","ASI Global Partitions","Overhead Braced","Black Core Phenolic","Black core phenolic toilet compartment, floor-anchored overhead-braced mounting",ASI-PHEN-OH,0.790,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
ASI-US-SS,"Toilet Partitions","ASI Global Partitions","Urinal Screen","Stainless Steel","Stainless steel urinal screen with wall brackets or pilaster support as required",ASI-US-SS,0.790,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-B239,"Custodial Accessories","Bobrick",B-239,Classic,"Utility shelf with mop and broom holders and rag hooks, stainless steel",BOB-B239,0.790,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-B-4288,"Toilet Tissue Dispensers","Bobrick",B-4288,"ConturaSeries","Surface-mounted multi-roll toilet tissue dispenser, satin stainless steel",BOB-B-4288,0.790,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-B-270,"Napkin Disposal & Vendors","Bobrick",B-270,"ConturaSeries","Surface-mounted sanitary napkin disposal, satin stainless steel, 1 gallon capacity",BOB-B-270,0.790,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-B-212,"Hooks & Small Accessories","Bobrick",B-212,"ClassicSeries","Surface-mounted coat hook, stainless steel",BOB-B-212,0.790,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BR-9933,"Custodial Accessories","Bradley",9933,Custodial,"Utility shelf with 4 hooks and 3 rubber cam mop/broom holders, satin stainless steel",BR-9933,0.790,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BR-9934,"Custodial Accessories","Bradley",9934,Custodial,"Utility shelf with 5 hooks and 4 mop/broom holders, satin stainless steel",BR-9934,0.790,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BR-9953,"Custodial Accessories","Bradley",9953,Custodial,"Mop and broom holder with 3 holders, surface-mounted stainless steel",BR-9953,0.790,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BR-9954,"Custodial Accessories","Bradley",9954,Custodial,"Mop and broom holder with 4 holders, surface-mounted stainless steel",BR-9954,0.790,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BR-9955,"Custodial Accessories","Bradley",9955,Custodial,"Mop and broom holder with 5 holders, surface-mounted stainless steel",BR-9955,0.790,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BR-9983,"Custodial Accessories","Bradley",9983,Custodial,"Stainless steel utility shelf with hooks, mop holders, and drying rod",BR-9983,0.790,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
SA70-001180,"Grab Bars","Bradley",SA70-001180,"Security Series","Security series stainless steel grab bar, straight, 1-1/2"" O.D., 18"" L, front mounted",SA70-001180,0.790,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
SA70-001240,"Grab Bars","Bradley",SA70-001240,"Security Series","Security series stainless steel grab bar, straight, 1-1/2"" O.D., 24"" L, front mounted",SA70-001240,0.790,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
SA70-001300,"Grab Bars","Bradley",SA70-001300,"Security Series","Security series stainless steel grab bar, straight, 1-1/2"" O.D., 30"" L, front mounted",SA70-001300,0.790,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
SA70-001360,"Grab Bars","Bradley",SA70-001360,"Security Series","Security series stainless steel grab bar, straight, 1-1/2"" O.D., 36"" L, front mounted",SA70-001360,0.790,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
